,Date,Headline,Content,ContentSentiment,ScoreContentSentiment
1,11/11/16,"EU Questions U.S. Over Yahoo Email Scanning, Amid Privacy Concerns","The European Commission has asked the United States about a secret court order Yahoo used to scan thousands of customer emails for possible terrorism links, following concerns that may have violated a new data transfer pact.",negative,-0.636897
2,11/10/16,Yahoos Breach Gives Verizon Leverage in Deal Talks,The latest assault on Yahoos reputation gives Verizon extra firepower to snag a better deal.,negative,-0.5979
3,11/10/16,Yahoo Took Its Time Investigating Massive Security Breach,Yahoo detected evidence that a hacker had broken into its computer network at least 18 months before launching an investigation that discovered personal information had been stolen from about 500 million user accounts.,negative,-0.751481
4,11/9/16,Yahoo Employees Knew in 2014 About State-Sponsored Hacker Attack,"Yahoo first publicly disclosed the security breach on Sept. 22 this year, about two months after it struck a $4.8 billion deal with Verizon.",negative,-0.661086
5,11/1/16,"Ex-AOL, Yahoo Executive Appointed Ripple CEO",U.S.-based financial technology start-up Ripple announced on Tuesday its Chief Executive Officer Chris Larsen has decided to step down and will become the company's executive chair.,neutral,-0.661086
6,11/1/16,"Women Executives Left Yahoo in U.S. Amid Layoffs, Deal Talk","Women executives left Yahoo Inc U.S. operations at an unusually high rate after the technology company announced plans to sell itself earlier this year, but it was not immediately clear why, according to the company's 2016 diversity report, released...",neutral,-0.661086
7,10/31/16,"Women Executives Left Yahoo Amid Layoffs, Deal Talk","Women executives left Yahoo Inc at an unusually high rate after the U.S. technology company announced plans to sell itself earlier this year, but it was not immediately clear why, according to the company's 2016 diversity report, released on Monday.",neutral,-0.661086
8,10/28/16,"EU Data Protection Watchdogs Warn WhatsApp, Yahoo on Privacy","European privacy watchdogs warned WhatsApp on Friday over sharing user information with parent company Facebook, and cautioned Yahoo over a 2014 data breach and scanning of customer emails for U.S. intelligence purposes.",negative,-0.386011
9,10/26/16,Verizon Executive Says Company Needs More Information About Yahoo Hack,"A Verizon Communications Inc executive said the acquisition of Yahoo Inc still makes sense, but the telecommunications company needs more information about the email provider's massive breach of accounts.",negative,-0.590291
10,10/25/16,Yahoo Scanning Order Unlikely to Be Made Public: Sources,"Obama administration officials briefed key congressional staffers last week about a secret court order to Yahoo Inc that prompted it to search all users&#8217; incoming emails for a still undisclosed digital signature, but they remain reluctant to...",negative,-0.697521
11,10/20/16,Verizon Still Digesting Yahoo Hack; 3Q Profit Falls,Verizon said its profit fell in its most recent quarter as it added fewer subscribers for its traditional cellphone business. It also said it's still evaluating how the hack at Yahoo affects its $4.8 billion deal for the company.,negative,-0.556086
12,10/20/16,Verizon Revenue Drops as Subscriber Additions Disappoint,"Verizon Communications Inc&#160; added fewer than expected wireless subscribers in the third quarter due to intense competition, and indicated it may renegotiate a deal to buy Yahoo Inc after a breach of Yahoo user email accounts.",positive,0.497718
13,10/19/16,Daily Report: Explaining Yahoos Unexpected Jump in Traffic,"Yahoo said more people visited the site in September, the same month the ailing company disclosed that hackers stole data on 500 million users in 2014.",negative,-0.528689
14,10/19/16,"Morning Agenda: Yahoo Traffic Increased, Veterans Get Disruptive, China Slows",Yahoos quarterly results revealed that traffic actually increased since it disclosed its hack in September. But there are still concerns over Verizons agreement to buy the company.,negative,-0.623923
15,10/19/16,"Yahoo, ACLU Press U.S. to Disclose Secret Surveillance Orders",Yahoo Inc on Wednesday asked U.S. Director of National Intelligence James Clapper to declassify a surveillance order the company had received so it can respond to a Reuters report that it set up a special program last year to scan all Yahoo Mail...,neutral,-0.623923
16,10/19/16,Yahoo Asks Gov't to Clear Up Email-Surveillance Reports,Yahoo is asking the government to clear the air regarding reports that it scanned incoming user email for the feds.,negative,-0.540962
17,10/18/16,Yahoo Says Traffic Rose Despite Hacking That Could Alter Verizon Deal,"Third-quarter earnings were higher than analysts had expected, though revenue was down 15 percent.",neutral,-0.540962
18,10/18/16,"Yahoo Stumbles Again in 3Q, Raising Stakes on Verizon Deal","Yahoo stumbled through another rough patch in the third quarter, ramping up the pressure on the slumping internet company to complete its $4.8 billion sale to Verizon Communications.",negative,-0.805338
19,10/18/16,"Yahoo Profit Beats Wall St., Some Analysts Worry Over Effect of Hack","Yahoo Inc reported better-than-expected quarterly adjusted profit on Tuesday, a boost for the beleaguered company whose deal to sell its core business to Verizon Communications Inc has been shaken by a massive data breach.",neutral,-0.805338
20,10/16/16,Earnings Reports for Goldman Sachs and Yahoo,"The Yahoo report is of particular interest to investors, as the company is expected to stay quiet concerning the recent hacking and spying scandals that may imperil its pending sale to Verizon.",negative,-0.725798
21,10/15/16,"Jims and Nicks Week in Tech: Smoldering Phones, the Yahoo Markdown and Amazon Music","Sometimes people forget that old guys can be geeks. This week: How Samsung helped Apple, will Verizon win a discount, and a new riff on a classic excuse.",positive,0.931813
22,10/14/16,"Morning Agenda: Verizons Doubts, SoftBank and Saudi Fund, Marcus Opens",Verizons top lawyer said the company believed that the hacking of 500 million Yahoo email accounts might justify reopening sale talks.,neutral,0.931813
23,10/14/16,Daily Report: Hacking on Yahoo May Knock Down Its Sale Price,"Verizon, which was in talks to buy Yahoos core business for $4.8 billion, says the hacking materially reduced Yahoos value.",negative,-0.744411
24,10/14/16,Yahoo Restores Automatic Email Forwarding After Brief Outage,Yahoo says it has restored automatic email forwarding after a brief outage sent a flutter of indignation across the internet.,negative,-0.612659
