,Date,X,Headline,Content,sentiment_type,sentiment_score
1,11/11/16,10,Here's Why Hedge Funds Put Few Women on Company Boards,,negative,-0.370728
2,11/11/16,10,Why activist hedge funds almost never nominate women,,negative,-0.378097
3,11/11/16,8,"EU questions U.S. over Yahoo email scanning, amid privacy concerns","[Reuters] - The European Commission has asked the United States about a secret court order Yahoo used to scan thousands of customer emails for possible terrorism links, following concerns that may have violated a new data transfer pact. Under the Privacy Shield agreement that came into force in August, the United States agreed to limit the collection of and access to Europeans' data stored on U.S. servers because of EU concerns about data privacy and mass U.S. surveillance.",negative,-0.713477
4,11/10/16,18,Yahoo took its time investigating massive security breach,[AP] - Yahoo detected evidence that a hacker had broken into its computer network at least 18 months before launching an investigation that discovered personal information had been stolen from about 500 million ...,negative,-0.642713
5,11/10/16,17,"Yahoo's latest filing reveals more details about 2014 hack, possible impact",,negative,-0.391443
6,11/10/16,13,"Is It Time to Follow Aristeia Capital Into Yahoo! Inc. (YHOO), Herbalife Ltd. (HLF), More?",,neutral,-0.391443
7,11/10/16,9,"Yahoo Discloses New Potential Breach (YHOO, VZ)",[at Investopedia] - Yahoo disclosed it is investigating a purported hack of a user's account. Yahoo said law enforcement started sharing information from the hacker Monday.,negative,-0.740778
8,11/10/16,8,Yahoo-Verizon May Seek to Terminate the Stock Purchase Agreement,[24/7 Wall St.] - Buried in the risk factors of the Yahoo third-quarter 10Q is an admission that the Verizon Communications buyout is at risk.,neutral,-0.740778
9,11/10/16,8,Stock Futures Rise as Wall Street Rally Continues After Trump's Win,,positive,0.484882
10,11/10/16,7,5 Things You Must Know Before the Market Opens Thursday,,neutral,0.484882
11,11/10/16,0,Yahoo reveals more details about massive hack,,negative,-0.619819
12,11/9/16,19,Yahoo Says Investigating Claim of New Hack of User Data,"[at Bloomberg] - Yahoo! Inc. is investigating a new claim that user account data was obtained by a hacker, the latest security challenge for the company as it prepares for the planned acquisition of its core web services ...",negative,-0.684842
13,11/9/16,18,[$$] Yahoo admits some staff knew of hacking in 2014,"[at Financial Times] - Yahoo has admitted that at least some staff knew a state-sponsored hacker had accessed its network shortly after an attack took place two years ago, adding to the uncertainty around Verizon's $4.8bn deal ...",neutral,-0.684842
14,11/9/16,18,[$$] Yahoo Investigating If Hacker Has Access to User Accounts,"[at The Wall Street Journal] - Yahoo Inc. is evaluating whether an unidentified hacker has access to its user account data, following a 2014 hack that resulted in the theft of more than 500 million user account records.",neutral,-0.684842
15,11/9/16,16,"YAHOO INC Files SEC form 10-Q, Quarterly Report",,neutral,-0.684842
16,11/9/16,15,Newspaper Front Pages Following The U.S. Election: How Did The World React?,,neutral,-0.684842
17,11/9/16,15,"Symantec (SYMC), Alibaba Group Holding Ltd (BABA): Should You Follow This Hedge Fund Into Its Top Picks?",,neutral,-0.684842
18,11/9/16,14,[$$] Fitzgerald's Take: Yahoo Wins Privacy Fight With Bank Over Emails,[at The Wall Street Journal] - Yahoo Inc. won a big victory in Delaware when a federal judge ruled that bankruptcy courts can‰Ûªt force the internet company to hand over the contents of a private email account.,positive,-0.684842
19,11/9/16,14,Yahoo reveals more details about massive hack,"[AFP] - Yahoo provided more details on Wednesday about an epic hack of its services, including that the culprits may have planted software ""cookies"" for ongoing access to users' accounts. In revelations that could jeopardize the company's pending $4.8 billion acquisition by US telecom giant Verizon, the internet pioneer said it was trying to pin down when it first knew its system had been breached and whether hackers gave themselves a way to get back into accounts whenever they wished. ""Forensic experts are currently investigating certain evidence and activity that indicates an intruder, believed to be the same state-sponsored actor responsible for the security Incident, created cookies that could have enabled such intruder to bypass the need for a password to access certain users' accounts or account information,"" Yahoo said in a filing with the US Securities and Exchange Commission.",negative,-0.619819
20,11/8/16,10,TD Ameritrade's IMX Index Rose 6% In October,,positive,-0.619819
21,11/7/16,16,"Trade Desk Fights For Online Ad Space In Shadow Of Google, Facebook",,positive,-0.619819
22,11/4/16,12,"ETFs with exposure to Yahoo!, Inc. : November 4, 2016",,neutral,-0.619819
23,11/3/16,12,"Yahoo To Surge By 12.5%, Vetr Crowd Says",,positive,-0.41938
24,11/1/16,14,"Women executives left Yahoo in U.S. amid layoffs, deal talk",,negative,-0.72615
25,10/28/16,12,"EU data protection watchdogs warn WhatsApp, Yahoo on privacy",,neutral,-0.72615
26,10/27/16,8,Flurry Analytics Announces Advancements to Yahoo's Mobile Developer Suite,"[at noodls] - Introducing Crash Analytics 2.0 and Revenue Analytics to enable continued growth for developers, worldwide SUNNYVALE, Calif.--(BUSINESS WIRE)-- Flurry Analytics today announced the availability of two ...",positive,0.738414
